Batch,Loss,Accuracy
759,0.0611095,0.706901
760,0.0739249,0.707142
761,0.0736893,0.70739
762,0.0659826,0.707608
763,0.063257,0.707813
764,0.0533451,0.70804
765,0.0588072,0.708257
766,0.0809044,0.708493
767,0.0724818,0.708712
768,0.0453534,0.708951
769,0.0632387,0.709208
770,0.067791,0.709449
771,0.0751873,0.709662
772,0.0617617,0.709892
773,0.0652842,0.710145
774,0.0413749,0.710381
775,0.0608727,0.710615
776,0.0863718,0.71065
777,0.0554541,0.710889
778,0.0702324,0.711133
779,0.0580261,0.711377
780,0.0662351,0.711588
781,0.0633221,0.711811
782,0.0569778,0.712042
783,0.0584831,0.712295
784,0.0606875,0.712544
785,0.0690456,0.712787
786,0.0552146,0.713001
787,0.0584083,0.713202
788,0.0637672,0.713405
789,0.0742985,0.713644
790,0.0509599,0.713859
791,0.0492822,0.71406
792,0.0678367,0.714301
793,0.055931,0.71452
794,0.0621223,0.714727
795,0.0524396,0.714928
796,0.0562567,0.715132
797,0.0511015,0.715344
798,0.0731262,0.715572
799,0.0655452,0.715789
800,0.0652157,0.715992
801,0.056404,0.716218
802,0.0567638,0.716446
803,0.055193,0.716671
804,0.0612531,0.716897
805,0.0468304,0.717121
806,0.0517687,0.71732
807,0.0542762,0.717562
808,0.0512706,0.717774
809,0.0654718,0.718003
810,0.0638623,0.71822
811,0.0581573,0.718404
812,0.0604517,0.718641
813,0.0827093,0.718668
814,0.0595745,0.718893
815,0.0532802,0.719135
816,0.0686837,0.719367
817,0.0549963,0.71959
818,0.0480219,0.719794
819,0.0648739,0.719987
820,0.0538828,0.720214
821,0.0528292,0.720416
822,0.069211,0.720639
823,0.0430761,0.720846
824,0.0526752,0.721062
825,0.0521822,0.721258
826,0.0514515,0.72147
827,0.0543154,0.721704
828,0.0573128,0.721919
829,0.0507976,0.722105
830,0.0578515,0.722315
831,0.0714218,0.722527
832,0.0642495,0.722725
833,0.0604216,0.72292
834,0.0683771,0.723144
835,0.050751,0.723337
836,0.0734683,0.723524
837,0.0539083,0.723741
838,0.0598373,0.723943
839,0.0453216,0.724157
840,0.0603753,0.724366
841,0.05952,0.724567
842,0.0476873,0.72479
843,0.0527504,0.72496
844,0.0594858,0.725165
845,0.0676913,0.72539
846,0.0622346,0.725582
847,0.0439461,0.725767
848,0.0552741,0.725962
849,0.0582058,0.726149
850,0.0742622,0.726184
851,0.0559266,0.726404
852,0.048185,0.726609
853,0.0494524,0.726819
854,0.0566725,0.727027
855,0.0571574,0.727212
856,0.0635297,0.727389
857,0.059325,0.727599
858,0.0451368,0.727787
859,0.058072,0.727993
860,0.0575902,0.728186
861,0.0540647,0.728401
862,0.0635615,0.728593
863,0.0623722,0.72881
864,0.0567651,0.729015
865,0.050794,0.729212
866,0.054953,0.729394
867,0.0542055,0.729602
868,0.0391366,0.729769
869,0.0759514,0.72998
870,0.0419703,0.73018
871,0.0438432,0.730378
872,0.0576982,0.730558
873,0.0533658,0.730745
874,0.0518974,0.730951
875,0.0731112,0.731156
876,0.0748063,0.731355
877,0.0503504,0.731545
878,0.0543109,0.731744
879,0.0550191,0.73192
880,0.0636615,0.732123
881,0.042849,0.732301
882,0.0441052,0.732484
883,0.0560946,0.732654
884,0.0505602,0.732842
885,0.0517324,0.733031
886,0.057672,0.73323
887,0.0687844,0.733255
888,0.0537742,0.733429
889,0.0508428,0.733612
890,0.0540358,0.733812
891,0.0455434,0.733994
892,0.0581161,0.734187
893,0.0682226,0.734367
894,0.0693152,0.734561
895,0.0520205,0.734746
896,0.056985,0.734929
897,0.0675124,0.73511
898,0.0584741,0.735308
899,0.0602259,0.735481
900,0.0581414,0.735666
901,0.0509658,0.73585
902,0.0466932,0.736017
903,0.0512256,0.736171
904,0.0553731,0.736328
905,0.069971,0.7365
906,0.0541729,0.736653
907,0.0572391,0.736834
908,0.0651258,0.737004
909,0.0767216,0.737195
910,0.0641677,0.737381
911,0.0459454,0.737548
912,0.0685489,0.737742
913,0.0644609,0.737927
914,0.0569958,0.738094
915,0.0469597,0.738282
916,0.0880801,0.738453
917,0.074076,0.738642
918,0.0517811,0.738819
919,0.0652551,0.738997
920,0.073533,0.739188
921,0.0597615,0.739358
922,0.0832533,0.739529
923,0.0416189,0.739741
924,0.105143,0.739761
925,0.0586579,0.739942
926,0.0708333,0.740123
927,0.067622,0.740296
928,0.0520359,0.740442
929,0.0599698,0.740591
930,0.0853653,0.740752
931,0.0484554,0.740924
932,0.062741,0.741094
933,0.0700723,0.741259
934,0.0682957,0.741423
935,0.0717573,0.74158
936,0.0937367,0.741726
937,0.0719634,0.741889
938,0.071819,0.742076
939,0.0731145,0.742237
940,0.0642441,0.742411
941,0.067141,0.742593
942,0.0774379,0.742749
943,0.0573231,0.742906
944,0.0566687,0.743086
945,0.0741174,0.743261
946,0.0641529,0.743438
947,0.342424,0.743555
948,0.0850834,0.743679
949,0.174633,0.743781
950,0.106968,0.743908
951,0.150582,0.744005
952,0.13932,0.744131
953,0.144427,0.744247
954,0.122244,0.744363
955,0.129534,0.744491
956,0.0932089,0.744614
957,0.0921596,0.744746
958,0.158768,0.744872
959,0.0658684,0.745031
960,0.0983429,0.745168
961,0.123455,0.745183
962,0.236204,0.745313
963,0.110715,0.745461
964,0.12755,0.745558
965,0.0990456,0.745688
966,0.134921,0.745786
967,0.114261,0.745881
968,0.0962882,0.745999
969,0.115871,0.746094
970,0.194794,0.746152
971,0.108695,0.74625
972,0.133522,0.746369
973,0.133488,0.746473
974,0.111841,0.746607
975,0.111509,0.74673
976,0.0885988,0.746852
977,0.103186,0.746982
978,0.120463,0.747108
979,0.115647,0.747221
980,0.139558,0.747326
981,0.0961595,0.74744
982,0.108248,0.747564
983,0.107747,0.747692
984,0.133412,0.747812
985,0.0853177,0.747962
986,0.0877134,0.748098
987,0.124845,0.748226
988,0.0931603,0.748361
989,0.101273,0.748479
990,0.0978076,0.748627
991,0.0781522,0.748793
992,0.108605,0.748914
993,0.122482,0.749031
994,0.0755111,0.749174
995,0.076567,0.749305
996,0.0855451,0.749435
997,0.0646522,0.749587
998,0.0542617,0.749603
999,0.0837428,0.74973
1000,0.0886392,0.749872
1001,0.0908736,0.749999
1002,0.0696507,0.75014
1003,0.0823763,0.75029
1004,0.0825898,0.750433
1005,0.0575997,0.75058
1006,0.0743025,0.750727
